artist_name,artist_id,genre
Sudan Archives,2MPHBxznH1fj59jbOWY38u,experimental r&b
Sudan Archives,2MPHBxznH1fj59jbOWY38u,indie soul
Sudan Archives,2MPHBxznH1fj59jbOWY38u,la pop
Sophie Cates,4xjJOu0MWVWuaDVZOy0Dx2,alt z
Sophie Cates,4xjJOu0MWVWuaDVZOy0Dx2,bedroom pop
Sophie Cates,4xjJOu0MWVWuaDVZOy0Dx2,indie pop
Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,art pop
Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,indie folk
Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,indie quebecois
Maddie Zahm,5dtPlx7yKOo7KdZGyrfFIq,alt z
Maddie Zahm,5dtPlx7yKOo7KdZGyrfFIq,pop
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,alternative r&b
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,dance pop
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,neo soul
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,pop
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,post-teen pop
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,r&b
Chloe x Halle,0AsThoR4KZSVktALiNcQwW,rap
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,alabama indie
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,art pop
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,bubblegrunge
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,chamber pop
Waxahatchee,5IWCU0V9evBlW4gIeGY4zF,indie folk
